Membr id,trdr id,scrp code,scrp id,rate,qty,trd status,Cm code,Time,Date,Clnt id,Ordr id,Trns typ/Ordr typ,B/S,Trade ID,Clnt typ,ISIN,scrp group,Sett No,Ord Time,Ao/Po flag,Location id,Trd modi. time/time,Sessn Id or trdr Id,CP Code,CP code Confrn,Old Cust Prtcpnt,Old Cust code
6758,1160,500295,VEDL,43500,1,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,90000,OWN,INE205A01025,A,644/20252026,9:15:00,0,3.8205E+15,9:15:00,1160,,N,,
6758,1028,533155,JUBLFOOD,66670,14,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,96800,OWN,INE797F01020,A,644/20252026,9:15:00,1,3.8205E+15,9:15:00,1028,,N,,
6758,1029,500470,TATASTEEL,15765,234,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,96900,OWN,INE081A01020,A,644/20252026,9:15:00,1,3.8205E+15,9:15:00,1029,,N,,
6758,1039,500209,INFY,154345,89,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,102000,OWN,INE009A01021,A,644/20252026,9:15:00,1,3.8205E+15,9:15:00,1039,,N,,
6758,1029,544028,TATATECH,75720,88,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,163200,OWN,INE142M01025,A,644/20252026,9:15:00,0,3.8205E+15,9:15:00,1029,,N,,
6758,1029,500209,INFY,154670,89,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,178900,OWN,INE009A01021,A,644/20252026,9:15:00,1,3.8205E+15,9:15:00,1029,,N,,
6758,1033,500209,INFY,154695,89,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,179100,OWN,INE009A01021,A,644/20252026,9:15:00,1,3.8205E+15,9:15:00,1033,,N,,
6758,1028,500209,INFY,154720,89,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,179300,OWN,INE009A01021,A,644/20252026,9:15:00,1,3.8205E+15,9:15:00,1028,,N,,
6758,1029,500209,INFY,154745,89,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,179500,OWN,INE009A01021,A,644/20252026,9:15:00,1,3.8205E+15,9:15:00,1029,,N,,
6758,1013,500209,INFY,154770,89,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,179700,OWN,INE009A01021,A,644/20252026,9:15:00,1,3.8205E+15,9:15:00,1013,,N,,
6758,1022,500209,INFY,154795,89,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,179900,OWN,INE009A01021,A,644/20252026,9:15:00,1,3.8205E+15,9:15:00,1022,,N,,
6758,1029,500209,INFY,154820,89,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,180400,OWN,INE009A01021,A,644/20252026,9:15:00,1,3.8205E+15,9:15:00,1029,,N,,
6758,1039,544028,TATATECH,75695,30,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,182800,OWN,INE142M01025,A,644/20252026,9:15:00,1,3.8205E+15,9:15:00,1039,,N,,
6758,1022,544028,TATATECH,75795,30,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,184800,OWN,INE142M01025,A,644/20252026,9:15:00,1,3.8205E+15,9:15:00,1022,,N,,
6758,1040,544028,TATATECH,75845,30,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,186700,OWN,INE142M01025,A,644/20252026,9:15:00,1,3.8205E+15,9:15:00,1040,,N,,
6758,1024,544028,TATATECH,75920,6,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,191900,OWN,INE142M01025,A,644/20252026,9:15:00,1,3.8205E+15,9:15:00,1024,,N,,
6758,1024,544028,TATATECH,75920,24,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,192100,OWN,INE142M01025,A,644/20252026,9:15:00,1,3.8205E+15,9:15:00,1024,,N,,
6758,1013,544028,TATATECH,75945,37,11,52119,9:15:00,4/6/2025,OWN,1.74901E+18,L,S,192300,OWN,INE142M01025,A,644/20252026,9:15:00,1,3.8205E+15,9:15:00,1013,,N,,
6758,1028,534091,MCX,687495,7,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,4500,OWN,INE745G01035,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1028,,N,,
6758,1037,534091,MCX,687595,7,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,4700,OWN,INE745G01035,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1037,,N,,
6758,1027,590103,NIFTYBEES,27639,3,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,15700,OWN,INF204KB14I2,B,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1027,,N,,
6758,1027,590103,NIFTYBEES,27639,10,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,17900,OWN,INF204KB14I2,B,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1027,,N,,
6758,1027,590103,NIFTYBEES,27639,50,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,18400,OWN,INF204KB14I2,B,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1027,,N,,
6758,1040,590103,NIFTYBEES,27634,1,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,20800,OWN,INF204KB14I2,B,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1040,,N,,
6758,1040,590103,NIFTYBEES,27634,2,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,22200,OWN,INF204KB14I2,B,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1040,,N,,
6758,1029,532483,CANBK,11615,2,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,24700,OWN,INE476A01022,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1029,,N,,
6758,1024,500219,JISLJALEQS,6070,126,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,26000,OWN,INE175A01038,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1024,,N,,
6758,1026,500219,JISLJALEQS,6072,126,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,26200,OWN,INE175A01038,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1026,,N,,
6758,1027,500219,JISLJALEQS,6080,126,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,26400,OWN,INE175A01038,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1027,,N,,
6758,1039,500219,JISLJALEQS,6082,126,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,26600,OWN,INE175A01038,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1039,,N,,
6758,1022,500219,JISLJALEQS,6084,126,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,26800,OWN,INE175A01038,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1022,,N,,
6758,1040,500219,JISLJALEQS,6074,126,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,27000,OWN,INE175A01038,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1040,,N,,
6758,1028,500219,JISLJALEQS,6086,126,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,27200,OWN,INE175A01038,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1028,,N,,
6758,1022,500219,JISLJALEQS,6088,126,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,27400,OWN,INE175A01038,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1022,,N,,
6758,1013,500219,JISLJALEQS,6090,126,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,27600,OWN,INE175A01038,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1013,,N,,
6758,1039,500219,JISLJALEQS,6092,126,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,27800,OWN,INE175A01038,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1039,,N,,
6758,1022,540750,IEX,20220,55,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,30900,OWN,INE022Q01020,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1022,,N,,
6758,1039,533274,PRESTIGE,159870,6,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,31100,OWN,INE811K01011,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1039,,N,,
6758,1029,540750,IEX,20225,55,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,31600,OWN,INE022Q01020,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1029,,N,,
6758,1038,540750,IEX,20230,55,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,31800,OWN,INE022Q01020,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1038,,N,,
6758,1024,532174,ICICIBANK,143745,38,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,31900,OWN,INE090A01021,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1024,,N,,
6758,1026,540750,IEX,20235,55,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,32100,OWN,INE022Q01020,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1026,,N,,
6758,1033,540750,IEX,20240,55,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,32400,OWN,INE022Q01020,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1033,,N,,
6758,1028,540750,IEX,20270,55,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,33400,OWN,INE022Q01020,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1028,,N,,
6758,1161,540750,IEX,20270,158,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,33500,OWN,INE022Q01020,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1161,,N,,
6758,1022,540750,IEX,20245,55,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,33700,OWN,INE022Q01020,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1022,,N,,
6758,1039,524715,SUNPHARMA,165495,33,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,35200,OWN,INE044A01036,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1039,,N,,
